"sku","product_id","source_page","source_image","status","message","note"
"HSP-WH001","47201","https://www.jumia.co.ke/enerbras-electric-shower-head-instant-hot-water-4-temperature-levels-324599996.html","https://ke.jumia.is/unsafe/fit-in/900x900/filters:fill(white)/product/69/9995423/1.jpg?5277","ready","","Similar instant electric shower head."
"HSP-EXT001","47203","https://www.jumia.co.ke/addigoes-power-strip-with-surge-protection-4-power-socket-outlets-4-usb-ports3-usb-1-type-coverload-protection-led-indicator-child-proof-safety-covers-2m-all-in-one-power-extension-cord-for-home-office-use-314486134.html","https://ke.jumia.is/unsafe/fit-in/900x900/filters:fill(white)/product/43/1684413/1.jpg?5266","ready","","Similar surge-protected extension with USB ports."
"HSP-RUG001","47207","https://www.jumia.co.ke/mac-carpet-carpet-160-cm-x-230-cm-carpets-living-room-sabha-modern-home-decor-carpets-315107085.html","https://ke.jumia.is/unsafe/fit-in/900x900/filters:fill(white)/product/75/2886503/1.jpg?8493","ready","","Similar 160cm x 230cm living-room carpet."
"HSP-WBENCH001","47209","https://www.bosch-professional.com/gb/en/products/gta-3800-0601B24000","https://www.bosch-professional.com/binary/ocsmedia/optimized/750x422/o376177v54_GTA_3800_sos_F4_0601B24000_01.png","ready","","Official Bosch GTA 3800 product page."
"HSP-SMIRR001","47211","https://gralia.en.made-in-china.com/product/dwlTumzGChWj/China-Factory-Wholesale-Salon-Mirror-Light-Bathroom-Mirror-with-LED-Light.html","https://image.made-in-china.com/2f0j00bKtiITPcbBkS/Factory-Wholesale-Salon-Mirror-Light-Bathroom-Mirror-with-LED-Light.jpg","ready","","Similar 60x80cm LED bathroom mirror cabinet."
"HSP-SINK001","47213","https://kitchenwarehouse.lk/products/euro-60-x-50-single-bowl-black-sink-with-drainer","https://kitchenwarehouse.lk/cdn/shop/files/Stainless_Steel_Handmade_Single_Bowl_Sink_with_drainer.png?v=1769068112","ready","","Similar 60cm x 45cm stainless-steel single-bowl sink."
"HSP-TOI001","47215","https://www.jumia.co.ke/tigers-tigers-italian-s-trap-toilet-with-soft-close-seat-313110384.html","https://ke.jumia.is/unsafe/fit-in/900x900/filters:fill(white)/product/44/4020313/1.jpg?8177","ready","","Similar dual-flush soft-close toilet suite."
"HSP-SHOWER001","47217","https://www.jumia.co.ke/generic-high-end-brass-bathroom-system-shower-matt-chrome-wall-mounted-rain-mixer-shower-head-set-326105845.html","https://ke.jumia.is/unsafe/fit-in/900x900/filters:fill(white)/product/79/4182523/1.jpg?7170","ready","","Similar wall-mounted rain mixer shower set."
"HSP-TAPEF001","47219","https://www.jumia.co.ke/lirlee-kitchen-sink-mixer-tap-stylish-durable-325443300.html","https://ke.jumia.is/unsafe/fit-in/900x900/filters:fill(white)/product/00/3344523/1.jpg?4455","ready","","Similar chrome kitchen mixer tap."
"HSP-DRAIN001","47221","https://www.jumia.co.ke/generic-ywzx-sus304-stainless-steel-self-sealing-dual-purpose-floor-drain-10x10cm-2mm-thick-odor-insect-proof-for-bathroomkitchenbalcony-326357314.html","https://ke.jumia.is/unsafe/fit-in/900x900/filters:fill(white)/product/41/3753623/1.jpg?5334","ready","","Similar 10x10cm stainless-steel floor drain."
"HSP-PROJ001","47223","https://www.jumia.co.ke/generic-hy320-mini-portable-projector-4k-300-ansi-with-wifi-and-bluetooth-native-1080p-smart-projector-with-android11-support-wifi-6-bt5.0-auto-keystone-correction-325702743.html","https://ke.jumia.is/unsafe/fit-in/900x900/filters:fill(white)/product/34/7207523/1.jpg?4947","ready","","Similar portable 1080p Wi-Fi Bluetooth projector."
"HSP-POWERBANK001","47225","https://www.jumia.co.ke/oraimo-traveler-22.5-pd-20000mah-22.5w-power-bank-with-type-c-cables-297773505.html","https://ke.jumia.is/unsafe/fit-in/900x900/filters:fill(white)/product/50/5377792/1.jpg?3180","ready","","Similar 20000mAh 22.5W PD power bank."
"HSP-USBC001","47227","https://www.jumia.co.ke/ugreen-usb-3.1-usb-c-male-to-male-data-cable-60w-100w-power-delivery-pd-gen-1-for-monitor-laptop-smartphone-1.5m-325270799.html","https://ke.jumia.is/unsafe/fit-in/900x900/filters:fill(white)/product/99/7072523/1.jpg?8451","ready","","Similar 1.5m USB-C to USB-C 100W cable."
"HSP-SDCARD001","47229","https://www.jumia.co.ke/sandisk-ultra-64gb-128gb-microsd-memory-card-with-sd-adapter-high-speed-a1-class-10-waterproof-shockproof-ideal-for-smartphones-and-tablets-325454849.html","https://ke.jumia.is/unsafe/fit-in/900x900/filters:fill(white)/product/94/8454523/1.jpg?3736","ready","","Similar 64GB microSD card with SD adapter."
