"source_id","title","source_sku","target_sku","category_path","category_exists","action","existing_product_id","has_short_description","has_long_description"
"46718","Von Twin Tub Washing Machine 7kg VAWM-707S","SKU-042","HSP-042","Home Appliances > Laundry","yes","update","47042","yes","yes"
"46719","Hisense Front Load Washing Machine 8kg WFQY8014EVJM","SKU-043","HSP-043","Home Appliances > Laundry","yes","update","47043","yes","yes"
"46720","Nunix Top Load Washing Machine 6kg NX-6000","SKU-044","HSP-044","Home Appliances > Laundry","yes","update","47044","yes","yes"
"46721","Von Double Door Refrigerator 200L VART-25DHS","SKU-045","HSP-045","Home Appliances > Refrigerators","yes","update","47055","yes","yes"
"46722","Hisense No-Frost Refrigerator 300L REF300DR","SKU-046","HSP-046","Home Appliances > Refrigerators","yes","update","47056","yes","yes"
"46723","Sonar Bar Fridge 90L SD-90","SKU-047","HSP-047","Home Appliances > Refrigerators","yes","update","47045","yes","yes"
"46724","Hisense Smart 4K UHD TV 43 inch 43A6N","SKU-048","HSP-048","Electronics > TVs & Home Entertainment","yes","update","47058","yes","yes"
"46725","Vitro Full HD TV 32 inch VT-3200S","SKU-049","HSP-049","Electronics > TVs & Home Entertainment","yes","update","47046","yes","yes"
"46726","Sonar Android Smart TV 55 inch SN-55ST4K","SKU-050","HSP-050","Electronics > TVs & Home Entertainment","yes","update","47060","yes","yes"
"46727","Nunix 18 Inch Standing Fan NX-F18","SKU-051","HSP-051","Home Appliances > Fans & Air Treatment","yes","update","47061","yes","yes"
"46728","GoldenTech Rich Tower Fan with Remote GT-TF36R","SKU-052","HSP-052","Home Appliances > Fans & Air Treatment","yes","update","47047","yes","yes"
"46729","Electromate Air Cooler 20L EM-AC20","SKU-053","HSP-053","Home Appliances > Fans & Air Treatment","yes","update","47048","yes","yes"
"46730","Sonar 3kVA Petrol Generator SN-G3000","SKU-054","HSP-054","Energy > Generators","yes","update","47064","yes","yes"
"46731","GoldenTech Rich 2.5kVA Inverter Generator GT-IG2500","SKU-055","HSP-055","Energy > Generators","yes","update","47065","yes","yes"
"46732","Electromate 1kVA Silent Generator EM-G1000S","SKU-056","HSP-056","Energy > Generators","yes","update","47066","yes","yes"
"46733","Solarmax 200W Monocrystalline Solar Panel SMX-200M","SKU-057","HSP-057","Energy > Solar","yes","update","47049","yes","yes"
"46734","Solarmax 1000W Pure Sine Wave Inverter SMX-1000PS","SKU-058","HSP-058","Energy > Solar","yes","update","47068","yes","yes"
"46735","Solarmax Solar Water Pump Kit 0.5HP SMX-SP05","SKU-059","HSP-059","Water & Plumbing > Water Pumps","yes","update","47069","yes","yes"
"46736","Von 2-Plate Electric Coil Cooker VCST-200FE","SKU-060","HSP-060","Home Appliances > Cooking & Kitchen","yes","update","47070","yes","yes"
"46737","Vitro 3-Burner Gas Cooker VT-GB3","SKU-061","HSP-061","Home Appliances > Cooking & Kitchen","yes","update","47071","yes","yes"
"46738","Hisense Microwave Oven 20L HM720G7H","SKU-062","HSP-062","Home Appliances > Cooking & Kitchen","yes","update","47072","yes","yes"
"46739","AiLyons Electric Blender 1.5L AL-BL150","SKU-063","HSP-063","Home Appliances > Cooking & Kitchen","yes","update","47050","yes","yes"
"46740","AiLyons Stand Mixer 5L AL-SM500","SKU-064","HSP-064","Home Appliances > Cooking & Kitchen","yes","update","47074","yes","yes"
"46741","Electromate Electric Kettle 1.8L Stainless EM-EK18S","SKU-065","HSP-065","Home Appliances > Cooking & Kitchen","yes","update","47075","yes","yes"
"46742","Nunix Dry & Steam Clothes Iron NX-IR22","SKU-066","HSP-066","Home Appliances > Laundry","yes","update","47076","yes","yes"
"46743","LG Vacuum Cleaner Bagged 1600W VC3316NNTR","SKU-067","HSP-067","Home Appliances > Cleaning Appliances","yes","update","47051","yes","yes"
"46744","AiLyons Air Purifier HEPA 3-Stage AL-AP360","SKU-068","HSP-068","Home Appliances > Fans & Air Treatment","yes","update","47078","yes","yes"
"46745","LG Home Theatre System 2.1 DH3140S 300W","SKU-069","HSP-069","Electronics > Audio","yes","update","47079","yes","yes"
"46746","Sonar Portable Bluetooth Speaker SN-BT60","SKU-070","HSP-070","Electronics > Audio","yes","update","47080","yes","yes"
"46747","GoldenTech Rich Electric Water Dispenser Floor GT-WD12H","SKU-071","HSP-071","Home Appliances > Cooking & Kitchen","yes","update","47081","yes","yes"
