"sku","title","score","reasons","jumia_title","jumia_brand","image_url","page_url"
"HSP-052","GoldenTech Rich Tower Fan with Remote GT-TF36R","11","tokens:tower|fan|remote,size,family:tower fan,spec:36inch","36 Inches Smart Tower Fan, LED & Remote Control, Anion Air Purification, 8-Hour Timer & 80° Oscillat","VON","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/2239623/1.jpg?7102","https://www.jumia.co.ke/von-36-inches-smart-tower-fan-led-remote-control-anion-air-purification-8-hour-timer-80-oscillation-326932239.html"
"HSP-052","GoldenTech Rich Tower Fan with Remote GT-TF36R","11","tokens:tower|fan|remote,size,family:tower fan,spec:36inch","36-Inch Tower Fan with 65W Copper Motor, 8-Hour Timer, Air Purifying Anion, 80° Oscillation, Remote ","VON","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/1529623/1.jpg?1160","https://www.jumia.co.ke/von-36-inch-tower-fan-with-65w-copper-motor-8-hour-timer-air-purifying-anion-80-oscillation-remote-control-led-display-326925111.html"
"HSP-052","GoldenTech Rich Tower Fan with Remote GT-TF36R","11","tokens:tower|fan|remote,size,family:tower fan,spec:36inch"," 36-Inch Tower Fan, 65W Copper Motor, 8-Hour Timer, Air Purifying Anion, 3 Speeds + Modes, Remote Co","VON","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/3039623/1.jpg?9855","https://www.jumia.co.ke/von-36-inch-tower-fan-65w-copper-motor-8-hour-timer-air-purifying-anion-3-speeds-modes-remote-control-led-display-326930307.html"
"HSP-052","GoldenTech Rich Tower Fan with Remote GT-TF36R","10","tokens:tower|fan,size,family:tower fan,spec:36inch","36 Inches Tower Fan with Anion Air Purification, 8-Hour Timer, 65W 100% Copper Motor & 80° Oscillati","VON","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/6049623/1.jpg?2229","https://www.jumia.co.ke/von-36-inches-tower-fan-with-anion-air-purification-8-hour-timer-65w-100-copper-motor-80-oscillation-326940679.html"
"HSP-052","GoldenTech Rich Tower Fan with Remote GT-TF36R","9","tokens:fan,size,family:tower fan,spec:36inch","Ceiling Fan White 36 Inch","Tronics","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/3848523/1.jpg?1379","https://www.jumia.co.ke/ceiling-fan-white-36-inch-tronics-mpg9579777.html"
"HSP-053","Electromate Air Cooler 20L EM-AC20","12","tokens:cooler|20l,size,family:air cooler,spec:20l,spec:20l","Foam Hard Cooler - 20L - Red","Thermos","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/400231/1.jpg?7212","https://www.jumia.co.ke/customer/account/login/?tkWl=TH454HL07DS2VNAFAMZ-14724827&return=%2Fcatalog%2F%3Fq%3D20L%2520Air%2520Coolers"
"HSP-055","GoldenTech Rich 2.5kVA Inverter Generator GT-IG2500","10","tokens:5kva|inverter,family:inverter,spec:2.5kva,spec:2.5kva","1.5KVA 24V Solar Hybrid Inverter 1500VA Solar Hybrid Inverter","Solarmax","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/5456313/1.jpg?4157","https://www.jumia.co.ke/customer/account/login/?tkWl=SO830GP504LPBNAFAMZ-452053379&return=%2Fcatalog%2F%3Fq%3Dinverter"
"HSP-055","GoldenTech Rich 2.5kVA Inverter Generator GT-IG2500","9","tokens:inverter,family:inverter,spec:2.5kva,spec:2.5kva","2.2KVA Hybrid Inverter 2000Watts Solar Power Hybrid Inverter DC To AC Inverter","Must","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/7439462/1.jpg?2810","https://www.jumia.co.ke/customer/account/login/?tkWl=MU641EA3J99VUNAFAMZ-386918820&return=%2Fcatalog%2F%3Fq%3D2.5kVA%2520inverter"
"HSP-055","GoldenTech Rich 2.5kVA Inverter Generator GT-IG2500","9","tokens:inverter,family:inverter,spec:2.5kva,spec:2.5kva","2.2KVA Solar Inverter ","Must","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/6656503/1.jpg?3094","https://www.jumia.co.ke/2.2kva-solar-inverter-must-mpg9392087.html"
"HSP-061","Vitro 3-Burner Gas Cooker VT-GB3","12","brand,tokens:vitro|burner|gas|cooker,family:gas cooker"," 3 gas burner 1 Vitro ceramic Built in cooker ,Glass ,60*60cm-1 YEAR WARRANTY","Bolesi","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/6514623/1.jpg?0555","https://www.jumia.co.ke/bolesi-3-gas-burner-1-vitro-ceramic-built-in-cooker-glass-6060cm-1-year-warranty-326415677.html"
