"sku","title","score","reasons","jumia_title","jumia_brand","image_url","page_url"
"HSP-045","Von Double Door Refrigerator 200L VART-25DHS","17","brand,mpn,tokens:von|double|door|vart|25dhs","VART-19DHS Double Door Fridge 136L - Silver (1YR WRTY)","VON","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/1527762/1.jpg?7337","https://www.jumia.co.ke/customer/account/login/?tkWl=VO144HA3VEPFSNAFAMZ-392592819&return=%2Fcatalog%2F%3Fq%3DVon%2520VART-25DHS"
"HSP-045","Von Double Door Refrigerator 200L VART-25DHS","17","brand,mpn,tokens:von|double|door|vart|25dhs","VART-19DHS Double Door Fridge 136L - Silver (1YR WRTY)","VON","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/525682/1.jpg?8405","https://www.jumia.co.ke/customer/account/login/?tkWl=VO144HA0VV8OINAFAMZ-36971608&return=%2Fcatalog%2F%3Fq%3DVon%2520VART-25DHS"
"HSP-045","Von Double Door Refrigerator 200L VART-25DHS","17","brand,mpn,tokens:von|double|door|vart|25dhs","VART-22DHS Double Door Fridge 136L - Silver (1YR WRTY)","VON","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/47875/1.jpg?6390","https://www.jumia.co.ke/customer/account/login/?tkWl=VO495HL00VP0ENAFAMZ-5758591&return=%2Fcatalog%2F%3Fq%3DVon%2520VART-25DHS"
"HSP-045","Von Double Door Refrigerator 200L VART-25DHS","17","brand,mpn,tokens:von|double|door|vart|25dhs","VART-19DHS Double Door Fridge 136L - Silver","VON","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/5578221/1.jpg?9068","https://www.jumia.co.ke/customer/account/login/?tkWl=VO144HA32H5BYNAFAMZ-162886547&return=%2Fcatalog%2F%3Fq%3DVon%2520VART-25DHS"
"HSP-046","Hisense No-Frost Refrigerator 300L REF300DR","14","brand,mpn,tokens:hisense|ref300dr","Fridge REF205DR Double DoorWith Adjustable Leg 205L-GREY","Hisense","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/749207/1.jpg?6568","https://www.jumia.co.ke/customer/account/login/?tkWl=HI200HA0DJLEFNAFAMZ-87777872&return=%2Fcatalog%2F%3Fq%3DHisense%2520REF300DR"
"HSP-057","Solarmax 200W Monocrystalline Solar Panel SMX-200M","11","brand,tokens:solarmax|200w|monocrystalline|solar|panel,size","200 W Solar Panel 200W Monocrystalline All Weather Solar Panel....","Solarmax","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/5222252/1.jpg?6462","https://www.jumia.co.ke/200-w-solar-panel-200w-monocrystalline-all-weather-solar-panel-solarmax-mpg7600633.html"
"HSP-057","Solarmax 200W Monocrystalline Solar Panel SMX-200M","11","brand,tokens:solarmax|200w|monocrystalline|solar|panel,size","200 W Solar Panel Monocrystalline All Weather 200W Solar Panel High Efficiency","Solarmax","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/2318091/1.jpg?1118","https://www.jumia.co.ke/solarmax-200-w-solar-panel-monocrystalline-all-weather-200w-solar-panel-high-efficiency-190813293.html"
"HSP-057","Solarmax 200W Monocrystalline Solar Panel SMX-200M","11","brand,tokens:solarmax|200w|monocrystalline|solar|panel,size","200 W Solar Panel Monocrystalline All Weather 200W Solar Panel High Efficiency  + 300 W Inverter DC ","Solarmax","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/7607981/1.jpg?7830","https://www.jumia.co.ke/solarmax-200-w-solar-panel-monocrystalline-all-weather-200w-solar-panel-high-efficiency-300-w-inverter-dc-to-ac-solar-power-inverter-10ah-solar-charge-controller-solar-regulator-189706757.html"
"HSP-057","Solarmax 200W Monocrystalline Solar Panel SMX-200M","11","brand,tokens:solarmax|200w|monocrystalline|solar|panel,size"," 200w Solarpanel monocrystalline  solar panel 25 years warranty","Solarmax","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/3581482/1.jpg?1172","https://www.jumia.co.ke/customer/account/login/?tkWl=SO830GP3ODWN8NAFAMZ-414243134&return=%2Fcatalog%2F%3Fq%3DSolarmax%2520solarmax%2520200w%2520monocrystalline%2520solar%2520panel"
"HSP-057","Solarmax 200W Monocrystalline Solar Panel SMX-200M","11","brand,tokens:solarmax|200w|monocrystalline|solar|panel,size","200 W Solar Panel Monocrystalline All Weather 200W Solar Panel High Efficiency","Solarmax","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/1427012/1.jpg?8403","https://www.jumia.co.ke/customer/account/login/?tkWl=SO830GP3LVJZHNAFAMZ-291619671&return=%2Fcatalog%2F%3Fq%3DSolarmax%2520solarmax%2520200w%2520monocrystalline%2520solar%2520panel"
"HSP-058","Solarmax 1000W Pure Sine Wave Inverter SMX-1000PS","11","brand,tokens:solarmax|1000w|pure|sine|wave|inverter,size","1000W Inverter DC To AC Solar Inverter Solar Power Inverter Pure Sine Wave Inverter","Solarmax","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/3405491/1.jpg?4378","https://www.jumia.co.ke/customer/account/login/?tkWl=SO830GP2V7AF9NAFAMZ-269461569&return=%2Fcatalog%2F%3Fq%3DSolarmax%2520solarmax%25201000w%2520pure%2520sine%2520wave"
"HSP-058","Solarmax 1000W Pure Sine Wave Inverter SMX-1000PS","11","brand,tokens:solarmax|1000w|pure|sine|wave|inverter,size","1000W Inverter DC To AC Solar Inverter Solar Power Inverter Pure Sine Wave Inverter","Solarmax","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/8373623/1.jpg?5771","https://www.jumia.co.ke/solarmax-1000w-inverter-dc-to-ac-solar-inverter-solar-power-inverter-pure-sine-wave-inverter-326373802.html"
"HSP-058","Solarmax 1000W Pure Sine Wave Inverter SMX-1000PS","11","brand,tokens:solarmax|1000w|pure|sine|wave|inverter,size","1000W Inverter DC To AC Solar Inverter Solar Power Inverter Pure Sine Wave Inverter","Solarmax","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/7957623/1.jpg?6340","https://www.jumia.co.ke/customer/account/login/?tkWl=SO830GP54FZXUNAFAMZ-466062708&return=%2Fcatalog%2F%3Fq%3DSolarmax%2520solarmax%25201000w%2520pure%2520sine%2520wave"
"HSP-058","Solarmax 1000W Pure Sine Wave Inverter SMX-1000PS","11","brand,tokens:solarmax|1000w|pure|sine|wave|inverter,size"," 1000W Inverter DC To AC Solar Inverter Solar Power Inverter Pure Sine Wave Inverter","Solarmax","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/3318623/1.jpg?5007","https://www.jumia.co.ke/customer/account/login/?tkWl=SO830CA5TRP06NAFAMZ-466123933&return=%2Fcatalog%2F%3Fq%3DSolarmax%2520solarmax%25201000w%2520pure%2520sine%2520wave"
"HSP-058","Solarmax 1000W Pure Sine Wave Inverter SMX-1000PS","11","brand,tokens:solarmax|1000w|pure|sine|wave|inverter,size","1000W Inverter DC To AC Solar Inverter Solar Power Inverter Pure Sine Wave Inverter +30amps controll","Solarmax","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/7515623/1.jpg?7365","https://www.jumia.co.ke/customer/account/login/?tkWl=SO830GP57ZNGQNAFAMZ-465777992&return=%2Fcatalog%2F%3Fq%3DSolarmax%2520solarmax%25201000w%2520pure%2520sine%2520wave"
